V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Köhnə tikili,2 / 5,155 m²,5,var,390 000AZN,mülkiyyətçi,937,03 Avqust 2019,"Pedaqoji Universiteti 
"," Malokan bağı 
"," Sahil bağı 
"," Milli Konservatoriya 
"," Nizami kinoteatrı 
"," Bakı Musiqi Akademiyası 
"," Neft Akademiyası 
"," Sahil m.
"," 28 May m.
",
Köhnə tikili,2 / 9,70 m²,3,var,130 000AZN,mülkiyyətçi,214,11 Avqust 2019,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
Yeni tikili,12 / 14,128 m²,3,var,330 000AZN,vasitəçi (agent),144,11 Avqust 2019,"Axundov bağı 
"," İqsadiyyat Universiteti 
"," Dövlət İdarəçilik Akademiyası 
"," Sovetski 
"," İçəri Şəhər m.
"," Nərimanov heykəli 
"," Prezident parkı 
"," Qubernator parkı 
"," M.Ə.Sabir parkı 
"," Səbail r.
"
Yeni tikili,12 / 16,120 m²,3,yoxdur,220 000AZN,vasitəçi (agent),1848,11 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,5 / 5,85 m²,3,var,150 000AZN,vasitəçi (agent),328,11 Avqust 2019,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Köhnə tikili,5 / 5,54 m²,2,var,133 000AZN,vasitəçi (agent),152,10 Avqust 2019,"Hüseyn Cavid parkı 
"," Texniki Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,
Yeni tikili,16 / 17,63 m²,2,yoxdur,88 000AZN,mülkiyyətçi,138,10 Avqust 2019,"Əhmədli m.
"," Ukrayna dairəsi 
"," Xətai r.
"," Əhmədli q.
",,,,,,
Yeni tikili,15 / 17,187 m²,4,var,280 000AZN,mülkiyyətçi,180,10 Avqust 2019,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
Yeni tikili,7 / 7,100 m²,2,var,168 000AZN,vasitəçi (agent),95,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,1 / 16,60 m²,2,var,67 000AZN,vasitəçi (agent),182,Dünən 11,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Köhnə tikili,2 / 5,55 m²,2,var,78 000AZN,vasitəçi (agent),410,11 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,17 / 19,87 m²,2,yoxdur,121 000AZN,vasitəçi (agent),129,11 Avqust 2019,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Yeni tikili,5 / 15,101 m²,3,var,160 000AZN,mülkiyyətçi,451,Bugün 13,"Park Zorge 
"," Rusiya səfirliyi 
"," Tibb Universiteti 
"," Nəsimi r.
",,,,,,
Yeni tikili,14 / 18,89.1 m²,2,yoxdur,68 000AZN,vasitəçi (agent),190,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,17 / 18,56 m²,1,yoxdur,60 000AZN,vasitəçi (agent),221,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,4 / 18,100 m²,2,var,150 000AZN,mülkiyyətçi,228,10 Avqust 2019,"Nəriman Nərimanov parkı 
"," Rəssamlıq Akademiyası 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
Yeni tikili,9 / 18,205 m²,5,yoxdur,350 000AZN,vasitəçi (agent),101,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,10 / 20,48 m²,1,yoxdur,65 000AZN,vasitəçi (agent),271,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,12 / 16,93 m²,3,var,155 000AZN,vasitəçi (agent),470,Bugün 11,"20 Yanvar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
