V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,16 / 19,130 m²,3,var,235 000AZN,mülkiyyətçi,7101,09 Avqust 2019,"Cavanşir körpüsü 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,4 / 21,164 m²,3,var,237 000AZN,mülkiyyətçi,290,Bugün 10,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,3 / 12,80 m²,2,var,55 400AZN,mülkiyyətçi,8426,11 Avqust 2019,"Abşeron r.
",,,,,,,,,
Yeni tikili,17 / 19,115 m²,3,var,210 000AZN,mülkiyyətçi,9706,Dünən 15,"İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Köhnə tikili,9 / 9,60 m²,2,var,82 000AZN,vasitəçi (agent),131,11 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,11 / 16,103 m²,2,yoxdur,107 000AZN,mülkiyyətçi,5398,11 Avqust 2019,"Azadlıq Prospekti m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,3 / 18,131 m²,3,var,220 000AZN,vasitəçi (agent),165,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," Nizami m.
"," İncəsənət və Mədəniyyət Un. 
"," Yasamal r.
",,,,,,
Yeni tikili,5 / 12,51 m²,2,yoxdur,72 000AZN,vasitəçi (agent),120,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,14 / 16,176 m²,4,var,250 000AZN,vasitəçi (agent),154,10 Avqust 2019,"Rəssamlıq Akademiyası 
"," Montin bazarı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,6 / 14,140 m²,3,yoxdur,250 000AZN,mülkiyyətçi,675,10 Avqust 2019,"Nərimanov r.
",,,,,,,,,
Yeni tikili,5 / 16,140 m²,3,var,255 000AZN,vasitəçi (agent),2808,Bugün 10,"Təhsil Nazirliyi 
",,,,,,,,,
Yeni tikili,15 / 17,140 m²,3,var,330 000AZN,vasitəçi (agent),1544,Bugün 10,"Nəsimi bazarı 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,8 / 9,45 m²,2,var,38 000AZN,vasitəçi (agent),617,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,8 / 9,100 m²,3,var,205 000AZN,vasitəçi (agent),281,11 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
Köhnə tikili,6 / 9,100 m²,5,var,173 000AZN,vasitəçi (agent),304,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,6 / 23,169 m²,4,var,450 000AZN,vasitəçi (agent),370,10 Avqust 2019,"Neft Akademiyası 
"," 28 May m.
"," Səməd Vurğun parkı 
"," Pedaqoji Universiteti 
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,
Yeni tikili,9 / 14,120 m²,3,var,360 000AZN,vasitəçi (agent),83,10 Avqust 2019,"Tibb Universiteti 
"," Park Zorge 
"," Nəsimi r.
",,,,,,,
Yeni tikili,16 / 20,153 m²,3,yoxdur,125 000AZN,mülkiyyətçi,6281,10 Avqust 2019,"Tibb Universiteti 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,2 / 9,110 m²,4,var,125 000AZN,mülkiyyətçi,5293,Dünən 23,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,5 / 5,33 m²,1,var,48 000AZN,vasitəçi (agent),539,Dünən 10,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,12 / 17,70 m²,2,var,95 000AZN,vasitəçi (agent),193,11 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,15 / 19,140 m²,3,var,118 500AZN,vasitəçi (agent),540,11 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,11 / 16,111 m²,3,yoxdur,111 000AZN,vasitəçi (agent),1030,11 Avqust 2019,"Nizami r.
",,,,,,,,,
Köhnə tikili,3 / 9,55 m²,2,var,71 000AZN,vasitəçi (agent),403,11 Avqust 2019,"Suraxanı r.
"," Yeni Günəşli q.
",,,,,,,,
Yeni tikili,4 / 18,210 m²,4,var,365 000AZN,vasitəçi (agent),502,10 Avqust 2019,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," Sirk 
"," 28 May m.
"," Nəsimi r.
",,,,,
Yeni tikili,15 / 19,87 m²,2,var,130 000AZN,vasitəçi (agent),111,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,17 / 17,100 m²,3,var,100 000AZN,vasitəçi (agent),197,10 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,
Yeni tikili,17 / 23,190 m²,3,var,840 000AZN,vasitəçi (agent),476,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,17 / 17,240 m²,3,var,350 000AZN,vasitəçi (agent),1933,Bugün 10,"Qış parkı 
"," Beşmərtəbə 
"," Nizami m.
"," Nəsimi r.
",,,,,,
Yeni tikili,14 / 17,110 m²,3,var,160 000AZN,vasitəçi (agent),173,11 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,6 / 16,137 m²,3,yoxdur,165 000AZN,vasitəçi (agent),304,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,3 / 4,70 m²,3,var,105 000AZN,vasitəçi (agent),549,11 Avqust 2019,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,
Yeni tikili,11 / 18,135 m²,3,yoxdur,137 000AZN,vasitəçi (agent),283,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,16 / 17,63 m²,2,yoxdur,88 000AZN,vasitəçi (agent),145,10 Avqust 2019,"Əhmədli m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,6 / 9,54 m²,2,var,137 000AZN,vasitəçi (agent),139,10 Avqust 2019,"Gənclik m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,8 / 16,125 m²,3,var,175 000AZN,mülkiyyətçi,125,10 Avqust 2019,"Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,,
Yeni tikili,5 / 20,161 m²,4,var,450 000AZN,vasitəçi (agent),420,Bugün 13,"Neft Akademiyası 
"," 28 May m.
"," Səməd Vurğun parkı 
"," Bakı Musiqi Akademiyası 
"," Nəsimi r.
",,,,,
Yeni tikili,8 / 16,209 m²,4,var,324 000AZN,vasitəçi (agent),1890,Bugün 10,"Nərimanov r.
",,,,,,,,,
Yeni tikili,12 / 18,135 m²,3,yoxdur,130 000AZN,vasitəçi (agent),353,11 Avqust 2019,"Zərifə Əliyeva adına park 
"," Nəsimi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,
Yeni tikili,11 / 24,122.1 m²,3,var,244 000AZN,vasitəçi (agent),154,11 Avqust 2019,"Neft Akademiyası 
"," 28 May m.
"," Bakı Musiqi Akademiyası 
"," Səməd Vurğun parkı 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,,
Köhnə tikili,4 / 5,62 m²,3,var,82 000AZN,vasitəçi (agent),240,11 Avqust 2019,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Köhnə tikili,4 / 5,50 m²,2,var,86 000AZN,mülkiyyətçi,233,10 Avqust 2019,"TQDK 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,13 / 13,106 m²,3,yoxdur,50 000AZN,vasitəçi (agent),253,10 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Köhnə tikili,2 / 6,70 m²,2,var,175 000AZN,vasitəçi (agent),146,10 Avqust 2019,"İqsadiyyat Universiteti 
"," Axundov bağı 
"," Mərkəzi Univermaq 
"," M.Ə.Sabir parkı 
"," Dövlət İdarəçilik Akademiyası 
"," İçəri Şəhər m.
"," Səbail r.
",,,
Yeni tikili,5 / 18,85 m²,2,var,125 000AZN,vasitəçi (agent),143,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,15 / 18,140 m²,3,var,330 000AZN,vasitəçi (agent),1588,Dünən 13,"Zoopark 
"," Koala parkı 
"," Nəsimi bazarı 
"," Dostluq kinoteatrı 
"," Nəsimi r.
",,,,,
Yeni tikili,8 / 9,38 m²,2,var,46 500AZN,mülkiyyətçi,136,Dünən 14,"Abşeron r.
"," Masazır q.
",,,,,,,,
Köhnə tikili,2 / 9,100 m²,4,var,175 000AZN,mülkiyyətçi,441,11 Avqust 2019,"Zərifə Əliyeva adına park 
"," Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,
Yeni tikili,11 / 17,70 m²,2,yoxdur,102 000AZN,mülkiyyətçi,150,11 Avqust 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,9 / 18,71 m²,2,yoxdur,92 000AZN,vasitəçi (agent),1584,11 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Köhnə tikili,9 / 9,101 m²,4,var,120 000AZN,mülkiyyətçi,156,10 Avqust 2019,"Koroğlu m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,3 / 22,210 m²,4,var,389 000AZN,vasitəçi (agent),151,10 Avqust 2019,"Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nizami kinoteatrı 
"," Qış parkı 
"," Neft Akademiyası 
"," Malokan bağı 
"," 28 May m.
"," Sahil m.
"," Nəsimi r.
",
Yeni tikili,16 / 20,120 m²,3,var,150 000AZN,vasitəçi (agent),116,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Binəqədi r.
",,,,,,,,
Yeni tikili,11 / 17,80 m²,2,var,155 000AZN,vasitəçi (agent),172,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," Nizami m.
"," M.Hüseynzadə parkı 
"," Yasamal r.
",,,,,,
Yeni tikili,8 / 15,140 m²,3,yoxdur,275 000AZN,mülkiyyətçi,422,Bugün 13,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,10 / 17,177.5 m²,3,yoxdur,285 000AZN,vasitəçi (agent),157,Dünən 10,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Yeni tikili,15 / 22,159 m²,3,yoxdur,360 000AZN,vasitəçi (agent),160,11 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,1 / 5,60 m²,2,var,63 000AZN,vasitəçi (agent),263,11 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Köhnə tikili,2 / 5,110 m²,5,yoxdur,260 000AZN,vasitəçi (agent),115,11 Avqust 2019,"İzmir parkı 
"," M.Hüseynzadə parkı 
"," Dövlət Statistika Komitəsi 
"," Yasamal r.
",,,,,,
Köhnə tikili,2 / 9,34 m²,1,var,54 000AZN,mülkiyyətçi,277,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,8 / 18,87 m²,2,var,127 000AZN,vasitəçi (agent),126,10 Avqust 2019,"20 Yanvar m.
"," Nəsimi r.
"," 1-ci mikrorayon q.
",,,,,,,
Yeni tikili,19 / 21,135 m²,3,var,210 000AZN,vasitəçi (agent),321,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,15 / 20,214 m²,4,var,673 000AZN,vasitəçi (agent),1204,10 Avqust 2019,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Yeni tikili,17 / 19,60 m²,2,var,110 000AZN,vasitəçi (agent),124,Dünən 13,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,11 / 16,157 m²,3,var,159 500AZN,mülkiyyətçi,3219,Bugün 13,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,2 / 5,62 m²,2,var,72 000AZN,mülkiyyətçi,167,11 Avqust 2019,"Avtovağzal m.
"," Binəqədi r.
"," Biləcəri q.
",,,,,,,
Yeni tikili,11 / 14,155 m²,4,yoxdur,262 000AZN,vasitəçi (agent),761,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,15 / 18,156 m²,4,var,285 000AZN,vasitəçi (agent),315,11 Avqust 2019,"Azərbaycan turizm institutu 
"," Respublika stadionu 
"," Gənclik m.
"," Nərimanov r.
",,,,,,
Yeni tikili,7 / 12,84 m²,2,yoxdur,86 000AZN,mülkiyyətçi,236,10 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Yeni tikili,11 / 14,174 m²,4,yoxdur,320 000AZN,vasitəçi (agent),1123,10 Avqust 2019,"Nəsimi r.
",,,,,,,,,
Köhnə tikili,5 / 5,50 m²,2,var,61 500AZN,vasitəçi (agent),224,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,14 / 17,155 m²,3,yoxdur,262 000AZN,vasitəçi (agent),1114,10 Avqust 2019,"Memarlıq və İnşaat Universiteti 
"," Bakı Dövlət Universiteti 
"," Texniki Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,
Köhnə tikili,3 / 4,47 m²,2,var,95 000AZN,vasitəçi (agent),221,Dünən 13,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,
Yeni tikili,5 / 16,115 m²,3,yoxdur,145 000AZN,mülkiyyətçi,452,02 Avqust 2019,"Ukrayna dairəsi 
"," Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
Köhnə tikili,3 / 5,70 m²,2,var,33 000AZN,mülkiyyətçi,163,11 Avqust 2019,"Şirvan
",,,,,,,,,
Yeni tikili,9 / 16,132 m²,3,var,166 000AZN,vasitəçi (agent),488,Dünən 15,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,12 / 14,236 m²,4,yoxdur,224 200AZN,vasitəçi (agent),1375,11 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,5 / 5,60 m²,2,var,69 000AZN,vasitəçi (agent),442,10 Avqust 2019,"Neftçilər m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,5 / 17,95 m²,2,yoxdur,110 000AZN,vasitəçi (agent),785,Bugün 14,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
Yeni tikili,14 / 20,96 m²,2,yoxdur,120 000AZN,vasitəçi (agent),129,10 Avqust 2019,"Neftçi bazası 
"," Tibb Universiteti 
"," Nərimanov r.
",,,,,,,
Yeni tikili,3 / 16,93 m²,2,var,174 000AZN,vasitəçi (agent),573,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,5 / 17,110 m²,3,var,187 000AZN,vasitəçi (agent),145,Dünən 13,"Dostluq kinoteatrı 
"," Koala parkı 
"," Bakı Slavyan Universiteti 
"," Zoopark 
"," Azərbaycan Dillər Universiteti 
"," Nəsimi r.
",,,,
Yeni tikili,12 / 15,160 m²,3,var,280 000AZN,mülkiyyətçi,600,02 Avqust 2019,"Bakı Dövlət Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,,,
Yeni tikili,12 / 22,77 m²,2,yoxdur,62 000AZN,mülkiyyətçi,317,11 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,15 / 15,140 m²,3,var,150 000AZN,mülkiyyətçi,207,Dünən 11,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Köhnə tikili,8 / 9,60 m²,2,var,110 000AZN,vasitəçi (agent),186,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,7 / 9,80 m²,3,var,105 000AZN,vasitəçi (agent),259,10 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Köhnə tikili,1 / 3,50 m²,3,var,75 000AZN,vasitəçi (agent),386,10 Avqust 2019,"Axundov bağı 
"," Nərimanov heykəli 
"," Sovetski 
"," Dövlət İdarəçilik Akademiyası 
"," İqsadiyyat Universiteti 
"," Prezident parkı 
"," İçəri Şəhər m.
"," Qubernator parkı 
"," Səbail r.
",
Yeni tikili,7 / 18,70 m²,2,var,255 000AZN,vasitəçi (agent),109,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Səbail r.
",,,,,,,,
Yeni tikili,18 / 20,93 m²,2,var,264 000AZN,vasitəçi (agent),928,10 Avqust 2019,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,,,,
Yeni tikili,9 / 19,174 m²,4,var,330 000AZN,vasitəçi (agent),155,Dünən 13,"28 May m.
"," Neft Akademiyası 
"," Səməd Vurğun parkı 
"," Nəsimi r.
",,,,,,
Yeni tikili,5 / 18,129 m²,3,var,235 000AZN,vasitəçi (agent),277,Dünən 10,"Elmlər Akademiyası m.
"," İncəsənət və Mədəniyyət Un. 
"," Yasamal r.
",,,,,,,
Yeni tikili,8 / 11,68.7 m²,2,yoxdur,45 000AZN,mülkiyyətçi,240,11 Avqust 2019,"Xırdalan
",,,,,,,,,
Yeni tikili,6 / 14,85 m²,2,var,166 000AZN,vasitəçi (agent),173,11 Avqust 2019,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
Yeni tikili,12 / 18,228 m²,4,yoxdur,330 000AZN,vasitəçi (agent),539,11 Avqust 2019,"Neftçi bazası 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Yeni tikili,3 / 11,49 m²,1,yoxdur,45 000AZN,mülkiyyətçi,491,10 Avqust 2019,"Ukrayna dairəsi 
"," Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
Yeni tikili,10 / 18,220 m²,4,yoxdur,420 000AZN,vasitəçi (agent),134,10 Avqust 2019,"Elmlər Akademiyası m.
"," İncəsənət və Mədəniyyət Un. 
"," Yasamal r.
",,,,,,,
Yeni tikili,2 / 6,56.7 m²,2,var,37 000AZN,vasitəçi (agent),186,10 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,8 / 10,121 m²,3,var,65 000AZN,vasitəçi (agent),162,10 Avqust 2019,"Xırdalan
",,,,,,,,,
Köhnə tikili,5 / 5,60 m²,2,var,125 000AZN,vasitəçi (agent),290,Bugün 13,"Səməd Vurğun parkı 
"," 28 May m.
"," Nəsimi r.
",,,,,,,
Yeni tikili,16 / 17,230 m²,4,var,450 000AZN,mülkiyyətçi,141,Dünən 10,"Azərbaycan turizm institutu 
"," Təhsil Nazirliyi 
"," Gənclik m.
"," Nərimanov r.
",,,,,,
Yeni tikili,3 / 18,129 m²,3,yoxdur,140 000AZN,mülkiyyətçi,188,11 Avqust 2019,"Ukrayna dairəsi 
"," Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
Köhnə tikili,3 / 5,130 m²,5,var,177 000AZN,vasitəçi (agent),137,11 Avqust 2019,"Ayna Sultanova heykəli 
"," Binəqədi r.
",,,,,,,,
Köhnə tikili,3 / 5,76 m²,4,var,75 000AZN,vasitəçi (agent),130,Dünən 11,"Sumqayıt
",,,,,,,,,
Yeni tikili,6 / 16,62 m²,2,var,90 000AZN,mülkiyyətçi,1330,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Köhnə tikili,8 / 9,85 m²,3,var,125 000AZN,vasitəçi (agent),193,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,6 / 16,45 m²,2,yoxdur,95 000AZN,vasitəçi (agent),214,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,12 / 20,155 m²,4,var,540 000AZN,vasitəçi (agent),800,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,7 / 14,75 m²,2,yoxdur,108 750AZN,vasitəçi (agent),205,Dünən 13,"Neft Akademiyası 
"," 28 May m.
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,,,
Köhnə tikili,1 / 5,50 m²,2,var,65 000AZN,vasitəçi (agent),189,Dünən 10,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,4 / 9,55 m²,2,var,53 000AZN,mülkiyyətçi,1536,08 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Yeni tikili,6 / 20,65 m²,2,var,135 000AZN,vasitəçi (agent),178,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,2 / 12,72 m²,2,yoxdur,86 000AZN,vasitəçi (agent),216,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,4 / 5,65 m²,3,var,115 000AZN,vasitəçi (agent),2194,10 Avqust 2019,"Nizami m.
"," M.Hüseynzadə parkı 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,7 / 9,75 m²,3,var,96 000AZN,vasitəçi (agent),157,10 Avqust 2019,"Əhmədli m.
"," Ukrayna dairəsi 
"," Xətai r.
",,,,,,,
Yeni tikili,6 / 22,190 m²,4,var,238 000AZN,vasitəçi (agent),165,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,12 / 20,185 m²,4,var,649 000AZN,vasitəçi (agent),812,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,2 / 5,45 m²,2,var,88 000AZN,vasitəçi (agent),376,Dünən 13,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,16 / 19,145 m²,3,var,255 000AZN,mülkiyyətçi,1874,Bugün 10,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,1 / 3,40 m²,2,var,154 000AZN,vasitəçi (agent),194,11 Avqust 2019,"Fontanlar bağı 
"," Azərbaycan kinoteatrı 
"," Xalça Muzeyi 
"," Mərkəzi Univermaq 
"," Sahil m.
"," Səbail r.
",,,,
Köhnə tikili,6 / 7,40 m²,1,var,41 500AZN,vasitəçi (agent),404,11 Avqust 2019,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Yeni tikili,9 / 18,215 m²,4,var,475 000AZN,vasitəçi (agent),348,11 Avqust 2019,"İzmir parkı 
"," İdman kompleksi 
"," M.Hüseynzadə parkı 
"," Nəsimi r.
",,,,,,
Köhnə tikili,5 / 5,33 m²,1,var,38 000AZN,mülkiyyətçi,224,10 Avqust 2019,"Mingəçevir
",,,,,,,,,
Yeni tikili,5 / 17,213 m²,4,yoxdur,380 000AZN,vasitəçi (agent),140,10 Avqust 2019,"M.Hüseynzadə parkı 
"," Dövlət Statistika Komitəsi 
"," Nizami m.
"," Yasamal r.
",,,,,,
Köhnə tikili,4 / 5,30 m²,2,var,63 000AZN,vasitəçi (agent),177,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,6 / 11,60 m²,2,yoxdur,70 000AZN,vasitəçi (agent),238,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,2 / 16,81 m²,2,var,155 000AZN,vasitəçi (agent),158,Dünən 13,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,4 / 16,28 m²,1,var,59 500AZN,mülkiyyətçi,841,Bugün 10,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,15 / 22,110 m²,3,yoxdur,82 500AZN,mülkiyyətçi,302,11 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,14 / 17,104 m²,3,var,130 000AZN,vasitəçi (agent),261,11 Avqust 2019,"Memar Əcəmi m.
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Yeni tikili,12 / 18,196 m²,5,var,500 000AZN,vasitəçi (agent),106,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,2 / 5,73 m²,4,var,110 000AZN,mülkiyyətçi,177,10 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,16 / 18,26 m²,1,var,26 000AZN,vasitəçi (agent),3139,10 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,18 / 18,134.4 m²,3,yoxdur,134 400AZN,vasitəçi (agent),139,10 Avqust 2019,"Səbail r.
",,,,,,,,,
Yeni tikili,14 / 20,215 m²,4,var,765 000AZN,vasitəçi (agent),1385,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,16 / 18,145 m²,3,var,350 000AZN,vasitəçi (agent),128,Dünən 13,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,16 / 19,75 m²,2,var,157 000AZN,mülkiyyətçi,2785,Bugün 10,"İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,11 / 15,68 m²,2,yoxdur,97 000AZN,mülkiyyətçi,12575,Dünən 19,"Səbail r.
",,,,,,,,,
Yeni tikili,8 / 14,249 m²,5,var,700 000AZN,vasitəçi (agent),177,11 Avqust 2019,"Qış parkı 
"," Beşmərtəbə 
"," Nizami m.
"," Nəsimi r.
",,,,,,
Yeni tikili,10 / 18,152 m²,3,var,288 000AZN,vasitəçi (agent),562,11 Avqust 2019,"Nəsimi bazarı 
"," Koala parkı 
"," Nəsimi r.
",,,,,,,
Yeni tikili,5 / 19,120 m²,3,yoxdur,110 000AZN,mülkiyyətçi,303,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,2 / 9,39 m²,2,var,43 500AZN,vasitəçi (agent),128,Dünən 14,"Abşeron r.
"," Masazır q.
",,,,,,,,
Köhnə tikili,4 / 16,139.6 m²,3,yoxdur,139 600AZN,vasitəçi (agent),152,10 Avqust 2019,"Səbail r.
",,,,,,,,,
Köhnə tikili,7 / 9,45 m²,2,var,65 000AZN,vasitəçi (agent),252,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Köhnə tikili,4 / 5,34 m²,1,var,66 000AZN,vasitəçi (agent),185,Dünən 13,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,13 / 13,86 m²,2,yoxdur,45 000AZN,mülkiyyətçi,2256,Bugün 10,"Xırdalan
",,,,,,,,,
Yeni tikili,18 / 22,100 m²,2,yoxdur,75 000AZN,vasitəçi (agent),807,11 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,15 / 20,65 m²,2,var,140 000AZN,vasitəçi (agent),161,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
